Time,Source,Destination,Protocol,Length,Opcode,Info
434.728539,PCSSystemtec_df:12:91,08:00:8b:f1:2e,ARP,60,reply,192.168.1.84 is at 08:00:27:df:12:91
434.729087,PCSSystemtec_df:12:91,0B:09:XX:7a:ca,ARP,60,reply,192.168.1.13 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.84 detected!)
444.742608,PCSSystemtec_df:12:91,08:00:8b:5e:87,ARP,60,reply,192.168.1.96 is at 08:00:27:df:12:91
444.742608,PCSSystemtec_df:12:91,0B:09:XX:73:4c,ARP,60,reply,192.168.1.128 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.96 detected!)
454.757705,PCSSystemtec_df:12:91,08:00:8b:a8:7d,ARP,60,reply,192.168.1.15 is at 08:00:27:df:12:91
454.758238,PCSSystemtec_df:12:91,0B:09:XX:97:e5,ARP,60,reply,192.168.1.89 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.15 detected!)
464.765305,PCSSystemtec_df:12:91,08:00:8b:27:86,ARP,60,reply,192.168.1.251 is at 08:00:27:df:12:91
464.765801,PCSSystemtec_df:12:91,0B:09:XX:88:7a,ARP,60,reply,192.168.1.222 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.251 detected!)
474.771058,PCSSystemtec_df:12:91,08:00:8b:9a:59,ARP,60,reply,192.168.1.88 is at 08:00:27:df:12:91
474.771058,PCSSystemtec_df:12:91,0B:09:XX:cd:14,ARP,60,reply,192.168.1.157 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.88 detected!)
484.784126,PCSSystemtec_df:12:91,08:00:8b:9b:6c,ARP,60,reply,192.168.1.105 is at 08:00:27:df:12:91
484.784126,PCSSystemtec_df:12:91,0B:09:XX:c4:1c,ARP,60,reply,192.168.1.225 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.105 detected!)
494.799385,PCSSystemtec_df:12:91,08:00:8b:d4:ee,ARP,60,reply,192.168.1.79 is at 08:00:27:df:12:91
494.799385,PCSSystemtec_df:12:91,0B:09:XX:20:e0,ARP,60,reply,192.168.1.175 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.79 detected!)
504.8071,PCSSystemtec_df:12:91,08:00:8b:55:f8,ARP,60,reply,192.168.1.59 is at 08:00:27:df:12:91
504.8071,PCSSystemtec_df:12:91,0B:09:XX:34:a6,ARP,60,reply,192.168.1.220 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.59 detected!)
514.812919,PCSSystemtec_df:12:91,08:00:8b:4a:25,ARP,60,reply,192.168.1.103 is at 08:00:27:df:12:91
514.812919,PCSSystemtec_df:12:91,0B:09:XX:34:3b,ARP,60,reply,192.168.1.201 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.103 detected!)
524.817904,PCSSystemtec_df:12:91,08:00:8b:18:38,ARP,60,reply,192.168.1.208 is at 08:00:27:df:12:91
524.817904,PCSSystemtec_df:12:91,0B:09:XX:19:e4,ARP,60,reply,192.168.1.137 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.208 detected!)
534.823484,PCSSystemtec_df:12:91,08:00:8b:02:bf,ARP,60,reply,192.168.1.156 is at 08:00:27:df:12:91
534.823484,PCSSystemtec_df:12:91,0B:09:XX:2d:da,ARP,60,reply,192.168.1.106 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.156 detected!)
544.84284,PCSSystemtec_df:12:91,08:00:8b:79:d1,ARP,60,reply,192.168.1.29 is at 08:00:27:df:12:91
544.843304,PCSSystemtec_df:12:91,0B:09:XX:6a:70,ARP,60,reply,192.168.1.12 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.29 detected!)
554.86271,PCSSystemtec_df:12:91,08:00:8b:e1:8e,ARP,60,reply,192.168.1.71 is at 08:00:27:df:12:91
554.86271,PCSSystemtec_df:12:91,0B:09:XX:2f:39,ARP,60,reply,192.168.1.25 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.71 detected!)
564.878132,PCSSystemtec_df:12:91,08:00:8b:0e:17,ARP,60,reply,192.168.1.39 is at 08:00:27:df:12:91
564.878643,PCSSystemtec_df:12:91,0B:09:XX:6c:ad,ARP,60,reply,192.168.1.189 is at 08:00:27:df:12:91 (duplicate use of 192.168.1.39 detected!)
